,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,VCH,VCD,VCA
85,E0,2007-10-07,Newcastle,Everton,3,2,H,1,0,H,M Atkinson,15,11,10,6,13,19,8,2,2,1,0,0,2.1,3.3,3.6,2.0,3.3,3.6
86,E0,2007-10-07,Reading,Derby,1,0,H,0,0,D,L Mason,11,7,3,0,9,18,3,3,1,1,0,0,1.72,3.6,5.0,1.65,3.3,5.5
87,E0,2007-10-20,Arsenal,Bolton,2,0,H,0,0,D,M Riley,19,1,9,0,14,20,5,3,1,5,0,0,1.25,5.25,15.0,1.2,5.5,15.0
88,E0,2007-10-20,Aston Villa,Man United,1,4,A,1,3,A,R Styles,11,21,5,13,8,8,3,9,2,2,2,0,4.5,3.6,1.8,5.0,3.4,1.7
89,E0,2007-10-20,Blackburn,Reading,4,2,H,3,0,H,A Marriner,11,13,6,7,8,7,4,9,0,0,0,0,1.7,3.5,5.5,1.6,3.6,5.5
90,E0,2007-10-20,Everton,Liverpool,1,2,A,1,0,H,M Clattenburg,6,17,1,7,8,14,9,6,1,2,2,0,3.6,3.3,2.1,3.6,3.25,2.0
91,E0,2007-10-20,Fulham,Derby,0,0,D,0,0,D,P Dowd,13,13,9,9,10,10,6,8,0,2,1,0,1.72,3.5,5.25,1.7,3.4,5.0
92,E0,2007-10-20,Man City,Birmingham,1,0,H,1,0,H,M Dean,12,13,4,8,17,12,6,7,3,2,0,0,1.57,3.6,7.0,1.5,3.6,7.0
93,E0,2007-10-20,Middlesbrough,Chelsea,0,2,A,0,1,A,M Halsey,7,9,4,6,9,9,6,6,1,1,0,0,6.0,3.75,1.61,5.5,3.5,1.6
94,E0,2007-10-20,Wigan,Portsmouth,0,2,A,0,0,D,P Walton,7,15,0,8,9,9,3,2,2,3,0,0,3.1,3.25,2.37,2.8,3.25,2.35
95,E0,2007-10-21,West Ham,Sunderland,3,1,H,1,0,H,C Foy,12,16,7,10,8,17,6,7,3,2,0,0,1.9,3.25,4.5,1.75,3.2,5.0
96,E0,2007-10-22,Newcastle,Tottenham,3,1,H,1,0,H,S Bennett,15,11,7,4,12,7,5,5,2,2,0,0,2.37,3.3,3.0,2.35,3.25,2.8
97,E0,2007-10-27,Birmingham,Wigan,3,2,H,1,1,D,S Tanner,16,8,10,5,11,12,6,5,0,1,0,0,2.1,3.3,3.6,1.9,3.25,4.0
98,E0,2007-10-27,Chelsea,Man City,6,0,H,2,0,H,M Riley,16,7,9,4,13,12,9,3,2,2,0,0,1.5,4.0,7.0,1.5,3.6,7.0
99,E0,2007-10-27,Man United,Middlesbrough,4,1,H,2,1,H,A Wiley,18,7,14,4,10,15,2,4,0,2,0,0,1.18,6.5,19.0,1.18,6.0,15.0
100,E0,2007-10-27,Portsmouth,West Ham,0,0,D,0,0,D,M Dean,10,10,3,3,18,9,11,5,2,4,0,0,1.8,3.5,4.75,1.7,3.3,5.0
101,E0,2007-10-27,Reading,Newcastle,2,1,H,0,0,D,P Dowd,12,6,5,2,14,10,5,8,0,1,0,0,2.75,3.25,2.5,2.6,3.3,2.5
102,E0,2007-10-27,Sunderland,Fulham,1,1,D,0,1,A,A Marriner,8,8,6,3,13,16,9,1,1,4,1,0,2.1,3.3,3.6,2.0,3.25,3.6
103,E0,2007-10-28,Bolton,Aston Villa,1,1,D,1,0,H,M Atkinson,13,8,6,3,15,13,7,3,2,1,0,0,2.7,3.3,2.62,2.4,3.25,2.75
104,E0,2007-10-28,Derby,Everton,0,2,A,0,1,A,S Bennett,5,7,2,3,11,12,0,2,1,1,0,0,3.6,3.3,2.1,3.2,3.1,2.2
105,E0,2007-10-28,Liverpool,Arsenal,1,1,D,1,0,H,H Webb,11,11,8,4,16,10,4,1,3,3,0,0,2.5,3.25,2.8,2.4,3.2,2.8
106,E0,2007-10-28,Tottenham,Blackburn,1,2,A,0,0,D,R Styles,9,9,6,4,11,14,10,2,4,3,0,0,2.2,3.4,3.25,2.1,3.3,3.3
107,E0,2007-11-03,Arsenal,Man United,2,2,D,0,1,A,H Webb,16,10,6,4,15,15,3,4,1,2,0,0,2.5,3.1,3.0,2.35,3.2,2.9
108,E0,2007-11-03,Aston Villa,Derby,2,0,H,0,0,D,M Halsey,15,8,7,2,7,20,7,4,0,3,0,0,1.4,4.33,9.0,1.4,4.0,8.0
109,E0,2007-11-03,Blackburn,Liverpool,0,0,D,0,0,D,M Atkinson,15,11,7,7,7,11,6,3,0,1,0,0,3.0,3.3,2.37,2.9,3.2,2.35
110,E0,2007-11-03,Everton,Birmingham,3,1,H,1,0,H,M Riley,16,7,9,6,14,22,6,5,0,1,0,0,1.66,3.5,5.75,1.65,3.3,5.5
111,E0,2007-11-03,Fulham,Reading,3,1,H,1,0,H,M Clattenburg,9,13,7,6,11,6,8,9,3,0,1,0,2.2,3.25,3.4,2.1,3.3,3.25
112,E0,2007-11-03,Middlesbrough,Tottenham,1,1,D,0,1,A,M Dean,5,9,3,4,13,8,6,7,1,0,0,0,3.0,3.25,2.4,2.7,3.2,2.5
113,E0,2007-11-03,Newcastle,Portsmouth,1,4,A,1,3,A,C Foy,14,10,7,7,15,15,4,5,2,2,0,0,2.1,3.3,3.6,2.1,3.25,3.3
114,E0,2007-11-03,Wigan,Chelsea,0,2,A,0,2,A,S Bennett,10,13,3,7,16,9,4,3,2,1,0,0,9.0,4.33,1.4,8.0,4.0,1.4
115,E0,2007-11-04,West Ham,Bolton,1,1,D,1,0,H,P Walton,9,11,7,6,13,13,8,3,2,1,0,0,1.9,3.3,4.33,1.8,3.25,4.5
116,E0,2007-11-05,Man City,Sunderland,1,0,H,0,0,D,A Wiley,7,8,3,2,11,14,2,3,0,1,0,0,1.61,3.75,6.0,1.53,3.6,6.5
117,E0,2007-11-10,Derby,West Ham,0,5,A,0,1,A,M Clattenburg,9,16,2,11,12,9,4,5,2,2,0,0,3.25,3.4,2.2,3.1,3.1,2.25
118,E0,2007-11-10,Liverpool,Fulham,2,0,H,0,0,D,S Tanner,20,5,12,3,9,12,8,2,0,2,0,0,1.22,5.0,13.0,1.25,5.0,12.0
119,E0,2007-11-10,Sunderland,Newcastle,1,1,D,0,0,D,M Atkinson,19,9,8,5,10,15,7,4,1,2,0,0,2.87,3.25,2.5,2.6,3.2,2.6
120,E0,2007-11-11,Birmingham,Aston Villa,1,2,A,0,1,A,S Bennett,13,13,8,6,17,8,8,5,3,2,0,0,2.7,3.2,2.7,2.65,3.1,2.6
121,E0,2007-11-11,Bolton,Middlesbrough,0,0,D,0,0,D,L Probert,15,8,7,7,16,22,6,7,1,2,0,0,2.1,3.4,3.5,2.0,3.2,3.75
122,E0,2007-11-11,Chelsea,Everton,1,1,D,0,0,D,A Wiley,15,6,10,2,13,16,9,1,2,2,0,0,1.33,5.0,10.0,1.35,4.0,9.5
123,E0,2007-11-11,Man United,Blackburn,2,0,H,2,0,H,C Foy,22,12,15,7,7,19,9,4,1,4,0,1,1.33,4.5,8.5,1.35,4.0,9.5
124,E0,2007-11-11,Portsmouth,Man City,0,0,D,0,0,D,M Halsey,20,10,12,5,11,7,9,1,1,1,0,0,2.0,3.4,3.8,1.9,3.25,4.0
125,E0,2007-11-11,Tottenham,Wigan,4,0,H,3,0,H,H Webb,19,6,8,2,8,16,5,2,0,2,0,0,1.44,4.2,8.0,1.45,3.75,8.0
126,E0,2007-11-12,Reading,Arsenal,1,3,A,0,1,A,R Styles,8,16,5,7,9,5,5,1,1,1,0,0,7.0,4.0,1.5,7.0,4.0,1.45
127,E0,2007-11-24,Arsenal,Wigan,2,0,H,0,0,D,P Walton,13,7,6,2,9,17,7,3,1,4,0,0,1.16,7.0,17.0,1.12,6.5,21.0
128,E0,2007-11-24,Birmingham,Portsmouth,0,2,A,0,1,A,M Atkinson,4,15,3,8,17,21,4,3,3,2,0,0,3.2,3.3,2.3,3.1,3.2,2.2
129,E0,2007-11-24,Bolton,Man United,1,0,H,1,0,H,M Clattenburg,6,13,5,3,16,13,4,6,3,0,0,0,9.0,4.33,1.4,7.0,4.0,1.45
130,E0,2007-11-24,Derby,Chelsea,0,2,A,0,1,A,A Marriner,9,9,4,5,8,6,3,2,0,1,0,1,15.0,6.0,1.22,13.0,4.5,1.25
131,E0,2007-11-24,Everton,Sunderland,7,1,H,3,1,H,P Dowd,24,13,18,7,9,13,2,6,0,1,0,0,1.61,3.6,6.5,1.55,3.75,5.5
